days_window,lambda,n_matches,ttt_acc,book_acc,inj_rate
7,0.25,1132,62.3675,68.3746,0.265
7,0.5,1132,62.3675,68.3746,0.265
7,0.75,1132,62.3675,68.3746,0.265
14,0.25,1132,62.2792,68.3746,0.7951
14,0.5,1132,62.2792,68.3746,0.7951
14,0.75,1132,62.2792,68.3746,0.7951
30,0.25,1132,62.1908,68.3746,1.8551
45,0.25,1132,62.1908,68.3746,2.5618
60,0.25,1132,62.1908,68.3746,3.9753
30,0.5,1132,62.1908,68.3746,1.8551
45,0.5,1132,62.1908,68.3746,2.5618
60,0.5,1132,62.1908,68.3746,3.9753
90,0.5,1132,62.1908,68.3746,5.8304
30,0.75,1132,62.1908,68.3746,1.8551
45,0.75,1132,62.1908,68.3746,2.5618
60,0.75,1132,62.1908,68.3746,3.9753
90,0.75,1132,62.1908,68.3746,5.8304
90,0.25,1132,62.1025,68.3746,5.8304
